1,severe pain
2,swelling
3,bruising
4,difficulty moving foot
5,difficulty putting weight on foot
6,the ankle being an odd shape
7,a snap or grinding noise
8,bleeding
9,pain in heel
10,skin discolouration
11,pitting oedema
12,aching tender limbs
13,stiff joints
14,weight gain
15,creepy-crawly feeling
16,feeling different
17,a painful cramping sensation in the legs
18,tingling
19,burning
20,itching
21,throbbing
22,pain around the affected joint
23,inability to put weight on it
24,inability to use the joint normally
25,bruising and tenderness
26,redness
27,pain in the affected muscle at rest
28,pain in the muscle or associated joint during use
29,muscle spasms
30,itchy skin
31,red skin
32,dry and flaky skin
33,scaly or crusty skin
34,swollen skin
35,brown discolouration of the skin
36,lipodermatosclerosis
37,small white scars
38,pain
39,eczema affecting other parts of the body
40,pain in the calf
41,a build-up of fluid around the knee
42,occasional locking or clicking in the knee joint
43,pain in the knee
44,severely painful leg
45,swollen leg
46,bruised
